epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7559,1.30305,3.73331,2.81824,1.64305,0,0.31324,0.28889,0.32156,0.19519,0.31324,0.28889,0.32156,0.20356,1.02186,0.40442,2.9635,1.60636,0,0.000469224,0.000469224,0.000469224
2,44.3005,1.23507,0.79091,2.32029,1.54946,0,0.23932,0.78056,0.37675,0.21582,0.23932,0.78056,0.37675,0.2076,1.18454,0.20091,3.244,1.63721,0,0.000926835,0.000926835,0.000926835
3,56.3658,1.29358,0.72014,2.34014,1.59766,0,0.24386,0.53056,0.4038,0.22617,0.26639,0.57222,0.42486,0.23297,1.1892,0.23338,2.66664,1.81646,0,0.00136558,0.00136558,0.00136558
4,68.6956,1.29233,0.63677,2.25561,1.59807,0,0.33504,0.65762,0.42296,0.26812,0.33504,0.65762,0.42296,0.26729,1.07024,0.19112,2.30231,1.63799,0,0.00134412,0.00134412,0.00134412
5,81.1646,1.261,0.71937,2.18999,1.56753,0,0.29748,0.68837,0.37725,0.23905,0.29748,0.68837,0.37725,0.23599,1.17447,0.20124,2.81019,1.59098,0,0.00131582,0.00131582,0.00131582
6,93.4911,1.16434,0.54843,2.06078,1.49119,0,0.21919,0.69793,0.39702,0.26856,0.21919,0.69793,0.39452,0.27142,1.18071,0.20585,2.44628,1.70104,0,0.00128753,0.00128753,0.00128753
7,105.858,1.23626,0.66393,2.08281,1.53369,0,0.31146,0.93991,0.50412,0.32757,0.31146,0.93991,0.50412,0.34015,1.05998,0.20546,2.20959,1.58975,0,0.00125923,0.00125923,0.00125923
8,117.882,1.18879,0.63918,1.99471,1.48751,0,0.3446,0.8118,0.48045,0.31828,0.3446,0.8118,0.48045,0.30522,1.05285,0.22139,2.02802,1.67163,0,0.00123094,0.00123094,0.00123094
9,129.957,1.18942,0.62774,1.99983,1.50157,0,0.34849,0.92813,0.46992,0.30568,0.34849,0.92813,0.46992,0.31283,1.17038,0.22568,1.98963,1.78249,0,0.00120265,0.00120265,0.00120265
10,142.293,1.1202,0.64234,1.90945,1.42016,0,0.33263,0.85556,0.43863,0.32576,0.33263,0.85556,0.43863,0.3157,0.98951,0.18417,1.98607,1.57455,0,0.00117435,0.00117435,0.00117435
11,154.103,1.13582,0.62747,1.95042,1.45159,0,0.30042,0.68773,0.54377,0.39512,0.30042,0.68773,0.54377,0.38009,0.86784,0.1812,1.85046,1.37665,0,0.00114606,0.00114606,0.00114606
12,166.108,1.08063,0.48416,1.85,1.40707,0,0.30775,0.83734,0.53369,0.40811,0.30775,0.83734,0.53369,0.40154,0.9399,0.1773,1.72405,1.47323,0,0.00111776,0.00111776,0.00111776
13,178.091,1.15679,0.58435,1.85063,1.47565,0,0.37704,0.83665,0.55468,0.42008,0.37704,0.83665,0.55468,0.42241,0.96291,0.19828,1.73576,1.44937,0,0.00108947,0.00108947,0.00108947
14,190.151,1.13055,0.60136,1.80534,1.44487,0,0.38407,0.65,0.52211,0.35714,0.38407,0.65,0.52211,0.35085,1.16942,0.18537,1.91283,1.63634,0,0.00106118,0.00106118,0.00106118
15,202,1.03438,0.60098,1.77391,1.40528,0,0.37781,0.875,0.5316,0.39072,0.37781,0.875,0.5316,0.37469,0.96023,0.18172,1.63193,1.39376,0,0.00103288,0.00103288,0.00103288
16,213.908,1.02738,0.59835,1.71316,1.3876,0,0.44434,0.80833,0.64333,0.50708,0.44434,0.80833,0.64333,0.50659,0.88266,0.25455,1.6099,1.41405,0,0.00100459,0.00100459,0.00100459
17,225.92,1.03411,0.58539,1.68844,1.36759,0,0.74739,0.60878,0.61698,0.47927,0.74739,0.60878,0.61698,0.47366,0.94495,0.21293,1.65401,1.34252,0,0.000976293,0.000976293,0.000976293
18,237.818,0.97571,0.55577,1.61664,1.33631,0,0.52878,0.61866,0.70717,0.57737,0.52878,0.61866,0.70717,0.57634,0.7622,0.15141,1.51418,1.19209,0,0.000947999,0.000947999,0.000947999
19,249.906,0.98017,0.51665,1.61781,1.36585,0,0.42387,0.8621,0.74097,0.58925,0.42387,0.8621,0.74097,0.58665,0.75151,0.15417,1.3961,1.19909,0,0.000919704,0.000919704,0.000919704
20,261.889,1.02844,0.54463,1.61969,1.38708,0,0.58236,0.69722,0.7486,0.58773,0.58236,0.69722,0.7486,0.58451,0.79532,0.15127,1.32425,1.24195,0,0.00089141,0.00089141,0.00089141
21,273.731,0.98745,0.51655,1.58488,1.34005,0,0.48109,0.76853,0.67937,0.54606,0.48109,0.76853,0.67937,0.53534,0.73798,0.16096,1.43071,1.18463,0,0.000863116,0.000863116,0.000863116
22,285.849,0.97801,0.55992,1.56385,1.35817,0,0.55315,0.6894,0.63244,0.52535,0.55315,0.6894,0.63244,0.52941,0.72138,0.17051,1.54875,1.15618,0,0.000834822,0.000834822,0.000834822
23,297.723,0.92616,0.47048,1.54955,1.30064,0,0.65483,0.7,0.75022,0.6276,0.65483,0.7,0.75022,0.6205,0.77017,0.19397,1.33879,1.16455,0,0.000806528,0.000806528,0.000806528
24,309.578,0.94521,0.58355,1.51437,1.32799,0,0.7201,0.64794,0.77229,0.63376,0.7201,0.64794,0.77229,0.62409,0.7519,0.19295,1.33963,1.19121,0,0.000778233,0.000778233,0.000778233
25,321.484,0.90978,0.44243,1.44429,1.31658,0,0.55015,0.69167,0.72884,0.63108,0.55015,0.69167,0.72884,0.61932,0.66873,0.1707,1.40542,1.14586,0,0.000749939,0.000749939,0.000749939
26,333.309,0.92909,0.61316,1.49529,1.28571,0,0.76057,0.59785,0.74943,0.63336,0.76057,0.59785,0.74943,0.6226,0.69774,0.17933,1.22563,1.15207,0,0.000721645,0.000721645,0.000721645
