epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6698,1.30513,1.4513,2.59292,1.58792,0,0.00361,1,0.2208,0.12655,0.00361,1,0.19848,0.12691,1.1847,1.28213,3.06925,1.83966,0,0.000323529,0.000323529,0.0679706
2,23.1714,1.19164,0.79924,2.09711,1.47531,0,0.36053,0.43904,0.36138,0.17756,0.31323,0.39738,0.3317,0.1534,1.26982,2.61356,2.58837,1.87372,0,0.000624348,0.000624348,0.0349381
3,33.7985,1.21861,0.62403,2.01552,1.53306,0,0.28051,0.68333,0.37029,0.2093,0.28051,0.68333,0.37029,0.2037,1.14517,0.30857,2.53854,1.84535,0,0.000892167,0.000892167,0.00187256
4,44.4926,1.11094,0.49642,1.97323,1.46528,0,0.30817,0.81667,0.46916,0.31354,0.30333,0.78889,0.46316,0.31902,1.0861,0.21302,2.09609,1.64392,0,0.0008515,0.0008515,0.0008515
5,55.174,1.15267,0.66993,1.91977,1.46959,0,0.28383,0.625,0.34774,0.24289,0.28383,0.625,0.34774,0.23773,1.08289,0.24394,2.04603,1.62666,0,0.000802,0.000802,0.000802
6,65.7328,1.14749,0.67633,1.934,1.45716,0,0.30377,0.68625,0.49031,0.33346,0.30377,0.68625,0.49031,0.34494,1.07056,0.20767,1.8774,1.5777,0,0.0007525,0.0007525,0.0007525
7,76.3441,1.09928,0.59585,1.84025,1.41479,0,0.32355,0.83333,0.52827,0.37641,0.32355,0.83333,0.52827,0.37333,1.03021,0.19525,1.86855,1.58256,0,0.000703,0.000703,0.000703
8,87.0832,1.05696,0.56723,1.79173,1.38186,0,0.41239,0.59167,0.52645,0.38883,0.41239,0.59167,0.52645,0.38811,0.94181,0.18602,1.75517,1.45147,0,0.0006535,0.0006535,0.0006535
9,97.7152,1.03742,0.56373,1.79813,1.39481,0,0.36114,0.60797,0.54404,0.38795,0.36114,0.60797,0.54404,0.3966,0.9698,0.17965,1.78178,1.50338,0,0.000604,0.000604,0.000604
10,108.451,1.01248,0.52029,1.72502,1.34887,0,0.46173,0.55,0.61367,0.45572,0.46173,0.55,0.61367,0.45428,0.88305,0.16877,1.74805,1.40301,0,0.0005545,0.0005545,0.0005545
11,120.062,0.99234,0.53816,2.20667,1.56528,0,0.46098,0.59167,0.52173,0.40179,0.46098,0.59167,0.52173,0.40532,0.90668,0.16515,1.97373,1.46588,0,0.000505,0.000505,0.000505
12,130.652,0.8467,0.47583,1.99978,1.4007,0,0.41301,0.625,0.56956,0.43242,0.41301,0.625,0.56956,0.44115,0.75763,0.16781,1.77212,1.24646,0,0.0004555,0.0004555,0.0004555
13,141.212,0.86015,0.49747,1.87086,1.41747,0,0.41194,0.93307,0.60708,0.46327,0.41194,0.93307,0.60708,0.46247,0.81111,0.16425,1.69625,1.2757,0,0.000406,0.000406,0.000406
14,151.729,0.75675,0.45796,1.72645,1.2983,0,0.40478,0.82377,0.68423,0.56311,0.40478,0.82377,0.68423,0.55789,0.70092,0.16852,1.65491,1.17568,0,0.0003565,0.0003565,0.0003565
15,162.416,0.7298,0.45163,1.71728,1.275,0,0.49303,0.64562,0.66961,0.5451,0.49303,0.64562,0.66961,0.55773,0.68123,0.17174,1.62458,1.17599,0,0.000307,0.000307,0.000307
16,172.959,0.70267,0.46907,1.65994,1.23002,0,0.44334,0.8314,0.72535,0.60657,0.44334,0.8314,0.72535,0.60509,0.63207,0.17044,1.5387,1.14669,0,0.0002575,0.0002575,0.0002575
17,183.532,0.69393,0.46018,1.65726,1.25115,0,0.44835,0.8,0.73309,0.63641,0.44835,0.8,0.73309,0.63454,0.63389,0.17106,1.51282,1.12737,0,0.000208,0.000208,0.000208
18,194.183,0.64302,0.45841,1.55964,1.19094,0,0.47733,0.8166,0.74831,0.6529,0.47733,0.8166,0.74831,0.64906,0.58103,0.17321,1.44644,1.06363,0,0.0001585,0.0001585,0.0001585
19,204.73,0.62872,0.42669,1.51734,1.20427,0,0.61602,0.63889,0.72939,0.63366,0.61602,0.63889,0.72939,0.62655,0.56467,0.17426,1.37594,1.04748,0,0.000109,0.000109,0.000109
20,215.184,0.62117,0.43725,1.49518,1.19149,0,0.62283,0.63889,0.73118,0.64983,0.62283,0.63889,0.73118,0.63568,0.55796,0.17528,1.34747,1.03851,0,5.95e-05,5.95e-05,5.95e-05
