epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7028,0.95899,2.55312,2.48405,1.29958,0,0.00491,0.82967,0.14293,0.063,0.00239,0.44872,0.02905,0.01375,1.54736,14.6089,3.30785,2.43418,0,0.000162698,0.000162698,0.067623
2,27.9422,0.80196,1.89162,1.95617,1.20277,0,0.33225,0.41026,0.38032,0.25403,0.31239,0.37179,0.2939,0.13522,0.99818,4.52236,2.27917,1.60168,0,0.000322844,0.000322844,0.0344498
3,41.2327,0.80767,1.72198,1.87182,1.21353,0,0.30475,0.67399,0.37435,0.25559,0.28235,0.62637,0.35143,0.25941,0.87508,1.91673,1.84513,1.38073,0,0.000476389,0.000476389,0.00127004
4,54.6453,0.79572,1.72358,1.81971,1.18381,0,0.33231,0.75458,0.41153,0.29475,0.3321,0.72405,0.3979,0.29486,0.94185,2.05685,2.07811,1.49475,0,0.0004703,0.0004703,0.0004703
5,68.0281,0.76904,1.55177,1.70053,1.15013,0,0.36735,0.66117,0.45647,0.34286,0.35831,0.64835,0.4386,0.32809,0.90478,2.04303,1.88812,1.39142,0,0.0004604,0.0004604,0.0004604
6,81.4348,0.732,1.49732,1.65255,1.12198,0,0.35194,0.68681,0.46342,0.34026,0.35194,0.68681,0.46046,0.3557,0.89105,1.55372,1.95804,1.37513,0,0.0004505,0.0004505,0.0004505
7,94.7725,0.69236,1.45967,1.5782,1.1166,0,0.39039,0.62987,0.45677,0.35769,0.39039,0.62987,0.44875,0.34891,0.83723,1.67883,2.07012,1.34513,0,0.0004406,0.0004406,0.0004406
8,108.208,0.74411,1.49068,1.574,1.1196,0,0.45279,0.54396,0.51069,0.37766,0.45279,0.54396,0.49842,0.39364,0.83274,1.7667,1.91784,1.3558,0,0.0004307,0.0004307,0.0004307
9,124.068,0.64799,1.21537,1.41466,1.08163,0,0.49899,0.597,0.56248,0.45187,0.49899,0.597,0.56155,0.45478,0.84687,1.51688,1.73965,1.33364,0,0.0004208,0.0004208,0.0004208
10,140.668,0.64843,1.26676,1.37086,1.08375,0,0.41673,0.68581,0.52478,0.40427,0.4138,0.67666,0.53391,0.41579,0.85534,1.66288,1.80685,1.29297,0,0.0004109,0.0004109,0.0004109
11,157.165,0.65623,1.33668,1.3627,1.08864,0,0.49603,0.57268,0.52214,0.40827,0.48345,0.55011,0.48598,0.36905,0.81086,2.02357,1.94139,1.2661,0,0.000401,0.000401,0.000401
