epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0726,1.31481,1.44957,2.58887,1.58977,0,0.00364,1,0.15157,0.10032,0.00364,1,0.15163,0.0944,1.28306,1.86524,3.10119,1.96969,0,0.000323529,0.000323529,0.0679706
2,23.8397,1.20184,0.79916,2.08952,1.47445,0,0.25014,0.13307,0.20137,0.0808,0.28259,0.16084,0.22748,0.07607,1.75206,0.91136,2.97252,2.34835,0,0.000624348,0.000624348,0.0349381
3,34.6692,1.20081,0.62857,1.99471,1.53201,0,0.17145,0.7127,0.42159,0.26591,0.17145,0.7127,0.42159,0.26534,1.00401,0.37358,2.28121,1.56224,0,0.000892167,0.000892167,0.00187256
4,45.3465,1.12248,0.50401,1.9535,1.45821,0,0.24295,0.50747,0.2882,0.16245,0.24295,0.50747,0.30237,0.16032,1.27658,0.21708,2.46994,1.86959,0,0.0008515,0.0008515,0.0008515
5,55.9853,1.12132,0.68798,1.8966,1.44323,0,0.37318,0.48056,0.47477,0.32318,0.37318,0.48056,0.47477,0.31433,1.04741,0.20637,2.07543,1.62027,0,0.000802,0.000802,0.000802
6,66.7151,1.1138,0.66535,1.90448,1.43275,0,0.49021,0.475,0.4606,0.31809,0.49021,0.475,0.4606,0.31905,0.94228,0.19699,1.95273,1.55553,0,0.0007525,0.0007525,0.0007525
7,77.4748,1.0943,0.60683,1.82686,1.41769,0,0.37909,0.68236,0.48267,0.36657,0.37909,0.68236,0.48267,0.36123,0.822,0.20093,1.85458,1.25712,0,0.000703,0.000703,0.000703
8,88.2087,1.04927,0.57573,1.76207,1.37731,0,0.33296,0.4906,0.50674,0.34128,0.33296,0.4906,0.50674,0.34402,0.96222,0.20352,2.31422,1.36469,0,0.0006535,0.0006535,0.0006535
9,98.8896,1.04613,0.57417,1.78596,1.41049,0,0.36444,0.63333,0.53683,0.41659,0.36444,0.63333,0.53683,0.41488,0.86361,0.18259,1.75244,1.34175,0,0.000604,0.000604,0.000604
10,109.519,1.01265,0.52655,1.68895,1.35392,0,0.41614,0.70259,0.60231,0.45976,0.41614,0.70259,0.60231,0.45109,0.83268,0.1837,1.55416,1.27997,0,0.0005545,0.0005545,0.0005545
11,121.12,0.95536,0.53619,2.18185,1.48929,0,0.38315,0.73333,0.57709,0.42575,0.38315,0.73333,0.57709,0.42172,0.86359,0.17521,1.86272,1.36276,0,0.000505,0.000505,0.000505
12,131.695,0.85494,0.50079,1.97461,1.40949,0,0.48819,0.63056,0.6296,0.49422,0.48819,0.63056,0.6296,0.49998,0.7938,0.18759,1.75952,1.3337,0,0.0004555,0.0004555,0.0004555
13,142.117,0.83943,0.5087,1.79819,1.39602,0,0.62956,0.56944,0.64025,0.53411,0.62956,0.56944,0.64025,0.53834,0.69991,0.18255,1.61479,1.18787,0,0.000406,0.000406,0.000406
14,152.65,0.75313,0.46006,1.68037,1.28738,0,0.74983,0.5566,0.7213,0.59974,0.74983,0.5566,0.7213,0.59894,0.72552,0.179,1.61495,1.14965,0,0.0003565,0.0003565,0.0003565
15,163.245,0.74286,0.48226,1.63558,1.26946,0,0.51825,0.725,0.69708,0.55802,0.51825,0.725,0.69708,0.55748,0.74424,0.18654,1.63251,1.20352,0,0.000307,0.000307,0.000307
16,173.627,0.70137,0.4619,1.62978,1.23315,0,0.52881,0.69276,0.70743,0.57501,0.52881,0.69276,0.70743,0.5736,0.70999,0.17928,1.61663,1.20287,0,0.0002575,0.0002575,0.0002575
17,184.069,0.68201,0.49182,1.61094,1.25637,0,0.68828,0.75787,0.71295,0.58284,0.68828,0.75787,0.71295,0.59592,0.71199,0.17515,1.37486,1.16349,0,0.000208,0.000208,0.000208
18,194.542,0.64514,0.44454,1.49124,1.20793,0,0.65491,0.76667,0.7501,0.64469,0.65491,0.76667,0.7501,0.63918,0.60349,0.18109,1.28125,1.06688,0,0.0001585,0.0001585,0.0001585
19,205.159,0.61577,0.42911,1.44461,1.18445,0,0.72836,0.79701,0.7569,0.64551,0.72836,0.79701,0.7569,0.62395,0.62219,0.18386,1.26176,1.08435,0,0.000109,0.000109,0.000109
20,215.792,0.61963,0.45912,1.42828,1.2042,0,0.77394,0.7709,0.80297,0.69368,0.77394,0.7709,0.80297,0.67171,0.60881,0.18625,1.25183,1.06405,0,5.95e-05,5.95e-05,5.95e-05
