epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6078,1.28945,1.51026,2.67349,1.58605,0,0.00397,1,0.10735,0.05097,0.00397,1,0.10735,0.04863,1.68175,0.64661,3.32057,2.41705,0,0.000161765,0.000161765,0.0678088
2,23.2495,1.148,0.75805,2.15231,1.43942,0,0.27638,0.53611,0.43267,0.29689,0.27638,0.53611,0.39299,0.16433,0.81904,8.34938,2.61517,1.39273,0,0.000321928,0.000321928,0.0346357
3,33.8917,1.12875,0.59741,2.02114,1.46919,0,0.43829,0.49666,0.51848,0.39386,0.43829,0.49666,0.51848,0.38522,0.87147,0.34714,1.88482,1.41451,0,0.000475492,0.000475492,0.00145588
4,44.6012,1.0336,0.48974,1.90297,1.40095,0,0.31814,0.91667,0.46899,0.34494,0.31814,0.91667,0.46899,0.33984,0.92051,0.20776,1.8365,1.43693,0,0.0004703,0.0004703,0.0004703
5,55.1013,1.08889,0.65706,1.87914,1.40846,0,0.41477,0.64258,0.50606,0.38328,0.41477,0.64258,0.50606,0.38363,0.85654,0.18675,1.83395,1.35885,0,0.0004604,0.0004604,0.0004604
6,65.7541,1.06379,0.63703,1.90934,1.41018,0,0.44686,0.70842,0.56433,0.44097,0.44686,0.70842,0.56433,0.43184,0.83327,0.17979,1.80917,1.3485,0,0.0004505,0.0004505,0.0004505
7,76.4054,1.00181,0.59318,1.81102,1.35644,0,0.46072,0.66637,0.61317,0.46211,0.46072,0.66637,0.61317,0.45853,0.82534,0.17708,1.71262,1.30031,0,0.0004406,0.0004406,0.0004406
8,87.0354,0.96694,0.57216,1.75089,1.33165,0,0.50638,0.56653,0.65874,0.5186,0.50638,0.56653,0.65874,0.51488,0.72783,0.17687,1.6247,1.28079,0,0.0004307,0.0004307,0.0004307
9,97.6878,1.02468,0.57658,1.79739,1.3834,0,0.47606,0.83166,0.7244,0.54248,0.47606,0.83166,0.7244,0.54545,0.84983,0.17924,1.59261,1.33441,0,0.0004208,0.0004208,0.0004208
10,108.324,0.95428,0.52494,1.69314,1.31156,0,0.53104,0.66945,0.78186,0.64757,0.53104,0.66945,0.78186,0.62274,0.75119,0.16615,1.59194,1.24739,0,0.0004109,0.0004109,0.0004109
11,119.017,0.90354,0.55597,1.65392,1.28225,0,0.72526,0.6518,0.77218,0.60829,0.72526,0.6518,0.77218,0.60079,0.81926,0.16198,1.48176,1.34138,0,0.000401,0.000401,0.000401
12,129.702,0.93086,0.53681,1.63189,1.30389,0,0.8136,0.63406,0.79777,0.63604,0.8136,0.63406,0.79777,0.6287,0.78271,0.17334,1.44371,1.26163,0,0.0003911,0.0003911,0.0003911
13,140.299,0.93762,0.65417,1.68696,1.31907,0,0.80929,0.73333,0.87098,0.68162,0.80929,0.73333,0.87098,0.66387,0.77476,0.16618,1.33633,1.25703,0,0.0003812,0.0003812,0.0003812
14,150.859,0.92176,0.53612,1.54886,1.30171,0,0.74926,0.71763,0.81039,0.66822,0.74926,0.71763,0.81039,0.66916,0.63893,0.16311,1.32924,1.13968,0,0.0003713,0.0003713,0.0003713
