epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5827,1.29162,1.499,2.67427,1.59236,0,0.00379,1,0.08804,0.03042,0.00379,1,0.07975,0.03002,1.67876,0.60122,3.38879,2.25575,0,0.000161765,0.000161765,0.0678088
2,23.2233,1.14404,0.76839,2.17124,1.43771,0,0.47257,0.08333,0.33584,0.21621,0.47257,0.08333,0.33584,0.18242,0.85236,1.30937,2.58892,1.47161,0,0.000321928,0.000321928,0.0346357
3,33.8086,1.11093,0.59881,2.01882,1.46919,0,0.28538,0.70278,0.51363,0.35449,0.28538,0.70278,0.51363,0.34765,0.99198,0.25071,1.93629,1.51176,0,0.000475492,0.000475492,0.00145588
4,44.3537,1.0501,0.48652,1.93796,1.40505,0,0.29673,0.92817,0.46662,0.34049,0.29673,0.92817,0.46662,0.3397,0.93844,0.20539,1.86313,1.40267,0,0.0004703,0.0004703,0.0004703
5,54.8735,1.05085,0.65641,1.87467,1.39214,0,0.32743,0.692,0.47942,0.34831,0.32743,0.692,0.47942,0.34911,0.88027,0.20184,1.91009,1.39685,0,0.0004604,0.0004604,0.0004604
6,65.5157,1.04644,0.67955,1.88794,1.39544,0,0.40599,0.51867,0.54212,0.41065,0.40599,0.51867,0.54212,0.41859,0.8504,0.20037,1.8278,1.37257,0,0.0004505,0.0004505,0.0004505
7,76.1152,1.00768,0.60241,1.81197,1.36074,0,0.32865,0.96667,0.54737,0.41855,0.32865,0.96667,0.54737,0.41171,0.89014,0.18306,1.73693,1.39941,0,0.0004406,0.0004406,0.0004406
8,86.7656,0.9555,0.57082,1.76567,1.32325,0,0.57876,0.57174,0.63262,0.51325,0.57876,0.57174,0.63262,0.52174,0.75016,0.19519,1.70578,1.21397,0,0.0004307,0.0004307,0.0004307
9,97.287,0.97283,0.56723,1.7765,1.35593,0,0.48608,0.62028,0.67244,0.53496,0.48608,0.62028,0.67244,0.53816,0.7663,0.17804,1.73046,1.25874,0,0.0004208,0.0004208,0.0004208
10,107.971,0.9686,0.52202,1.67781,1.33184,0,0.61977,0.62492,0.6685,0.54982,0.61977,0.62492,0.6685,0.54506,0.73504,0.17354,1.66441,1.20912,0,0.0004109,0.0004109,0.0004109
