epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6009,1.34751,2.69462,3.24259,1.66405,0,0.00341,1,0.1522,0.09063,0.00341,1,0.15126,0.0913,0.65749,0.23911,3.59986,1.20724,0,0.000161765,0.000161765,0.0678088
2,23.1955,1.1377,0.9974,3.10689,1.50685,0,0.00339,1,0.17373,0.10256,0.00339,1,0.17373,0.10334,0.61458,0.23611,3.54408,1.15421,0,0.000321928,0.000321928,0.0346357
3,33.7151,1.03497,0.80327,3.04246,1.4747,0,0.00337,1,0.24553,0.14495,0.00337,1,0.24553,0.14446,0.54834,0.2299,3.48173,1.11768,0,0.000475492,0.000475492,0.00145588
4,44.2964,0.93589,0.67236,2.96168,1.38681,0,0.00334,1,0.33957,0.24032,0.00334,1,0.33957,0.23969,0.53351,0.22579,3.3832,1.08343,0,0.0004703,0.0004703,0.0004703
5,54.8587,0.92602,0.815,2.86564,1.37716,0,0.21864,0.89167,0.37952,0.2744,0.21864,0.89167,0.37952,0.27187,0.52199,0.22164,3.14867,1.05682,0,0.0004604,0.0004604,0.0004604
6,65.407,0.91468,0.82365,2.7836,1.34809,0,0.33942,0.43889,0.38745,0.29965,0.33942,0.43889,0.38745,0.29899,0.55083,0.2196,2.90252,1.0556,0,0.0004505,0.0004505,0.0004505
7,75.9975,0.89475,0.7381,2.63283,1.33323,0,0.32248,0.70556,0.40039,0.32401,0.32248,0.70556,0.40039,0.32479,0.55794,0.21907,2.70847,1.05091,0,0.0004406,0.0004406,0.0004406
8,86.6187,0.87416,0.7127,2.50776,1.31657,0,0.32934,0.78056,0.40659,0.34542,0.32934,0.78056,0.40659,0.3448,0.56044,0.2139,2.66454,1.05166,0,0.0004307,0.0004307,0.0004307
9,97.1938,0.91508,0.62591,2.46541,1.35911,0,0.33591,0.84167,0.46611,0.38432,0.33591,0.84167,0.46611,0.38904,0.58917,0.207,2.65368,1.08211,0,0.0004208,0.0004208,0.0004208
10,107.749,0.88795,0.6027,2.34775,1.30544,0,0.36582,0.7449,0.47526,0.39761,0.36582,0.7449,0.47526,0.40599,0.59847,0.19624,2.5804,1.07292,0,0.0004109,0.0004109,0.0004109
11,118.282,0.86113,0.60312,2.29685,1.29075,0,0.37207,0.8,0.46162,0.3982,0.37207,0.8,0.46162,0.39772,0.58978,0.1895,2.54419,1.07589,0,0.000401,0.000401,0.000401
12,128.864,0.89164,0.56139,2.27541,1.31774,0,0.38238,0.74981,0.47675,0.41308,0.38238,0.74981,0.47675,0.40606,0.57737,0.18417,2.56656,1.07701,0,0.0003911,0.0003911,0.0003911
13,139.452,0.91077,0.69236,2.30575,1.32701,0,0.34057,0.77222,0.46211,0.39669,0.34057,0.77222,0.46211,0.39435,0.58985,0.18594,2.54729,1.07745,0,0.0003812,0.0003812,0.0003812
14,150.041,0.88937,0.56419,2.16701,1.30951,0,0.41714,0.56258,0.49712,0.42295,0.41714,0.56258,0.49712,0.41303,0.5614,0.18462,2.52116,1.05278,0,0.0003713,0.0003713,0.0003713
15,160.517,0.86034,0.5402,2.1844,1.30094,0,0.46989,0.56419,0.51736,0.43267,0.46989,0.56419,0.51736,0.43017,0.56909,0.18566,2.4793,1.05417,0,0.0003614,0.0003614,0.0003614
