epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8975,1.21187,2.42428,3.18088,1.56821,0,0.00338,1,0.30053,0.22743,0.00338,1,0.30053,0.2279,0.57473,0.19696,3.53506,1.10514,0,0.00323529,0.00323529,0.0708824
2,23.3799,0.98268,0.75004,2.66756,1.37,0,0.75242,0.05556,0.38647,0.29739,0.75242,0.05556,0.38647,0.30194,0.73537,0.18831,3.14344,1.26165,0,0.00624348,0.00624348,0.0405572
3,33.9999,1.12265,0.58881,2.33294,1.47272,0,0.23647,0.32023,0.3409,0.22686,0.23647,0.32023,0.3409,0.22339,0.82395,0.1887,3.01437,1.37324,0,0.00892167,0.00892167,0.00990206
4,44.5266,1.10176,0.48629,2.24135,1.42819,0,0.25154,0.78333,0.40735,0.25887,0.25154,0.78333,0.40735,0.26199,0.96545,0.2016,3.02742,1.59523,0,0.008515,0.008515,0.008515
5,55.0405,1.08615,0.62175,2.18427,1.41818,0,0.28906,0.88889,0.45466,0.32179,0.28906,0.88889,0.45466,0.32228,0.79817,0.20639,2.89159,1.36477,0,0.00802,0.00802,0.00802
6,65.5215,1.07055,0.61355,2.17534,1.39326,0,0.31757,0.76111,0.46818,0.31189,0.31757,0.76111,0.46818,0.31353,0.87275,0.17175,2.66458,1.33845,0,0.007525,0.007525,0.007525
7,76.0707,1.04498,0.56008,2.06988,1.37724,0,0.35184,0.70362,0.49155,0.3523,0.35184,0.70362,0.49155,0.35193,0.89359,0.19695,2.56165,1.46917,0,0.00703,0.00703,0.00703
8,86.6988,0.98682,0.54686,2.02876,1.33905,0,0.37509,0.59167,0.46837,0.36224,0.37509,0.59167,0.46837,0.35623,0.85356,0.18231,2.4891,1.38603,0,0.006535,0.006535,0.006535
9,97.2385,1.01398,0.53537,2.0401,1.37487,0,0.36169,0.67178,0.5443,0.41828,0.36169,0.67178,0.5443,0.40626,0.86753,0.18738,2.22722,1.42354,0,0.00604,0.00604,0.00604
10,107.873,1.00733,0.48804,1.91538,1.33581,0,0.5441,0.63056,0.60893,0.48816,0.5441,0.63056,0.60893,0.48655,0.77163,0.1721,2.27041,1.25297,0,0.005545,0.005545,0.005545
11,119.307,0.88056,0.52368,2.69021,1.42878,0,0.38261,0.94444,0.60293,0.47856,0.38261,0.94444,0.60293,0.47893,0.79758,0.18996,2.17366,1.35605,0,0.00505,0.00505,0.00505
12,129.764,0.78688,0.47238,2.43426,1.32747,0,0.54295,0.61229,0.66285,0.49182,0.54295,0.61229,0.66285,0.49282,0.91606,0.17963,2.11509,1.57926,0,0.004555,0.004555,0.004555
13,140.085,0.8016,0.47483,2.26851,1.37654,0,0.4706,0.77706,0.67884,0.54171,0.4706,0.77706,0.67884,0.54126,0.79406,0.17178,2.07438,1.28159,0,0.00406,0.00406,0.00406
14,150.581,0.78232,0.42651,2.17944,1.33858,0,0.61175,0.65293,0.74424,0.62254,0.61175,0.65293,0.74424,0.61191,0.77753,0.1662,1.91617,1.27744,0,0.003565,0.003565,0.003565
15,161.084,0.74989,0.4224,2.19265,1.27383,0,0.62889,0.66667,0.76843,0.64192,0.62889,0.66667,0.76843,0.64247,0.71006,0.1615,1.84852,1.18119,0,0.00307,0.00307,0.00307
16,171.565,0.71406,0.43973,1.99504,1.23149,0,0.63221,0.7,0.80232,0.67855,0.63221,0.7,0.80232,0.67966,0.62707,0.15935,1.78224,1.07746,0,0.002575,0.002575,0.002575
17,182.099,0.71381,0.42095,1.99204,1.25966,0,0.83157,0.76667,0.85447,0.73224,0.83157,0.76667,0.85447,0.75189,0.63897,0.16201,1.63336,1.08652,0,0.00208,0.00208,0.00208
18,192.535,0.64357,0.39176,1.88256,1.19668,0,0.88403,0.66569,0.84179,0.73868,0.88403,0.66569,0.84179,0.71762,0.61121,0.16458,1.54667,1.07086,0,0.001585,0.001585,0.001585
19,203.098,0.61994,0.36405,1.83587,1.19051,0,0.81629,0.7,0.85315,0.74703,0.81629,0.7,0.85315,0.75717,0.58918,0.16689,1.47269,1.067,0,0.00109,0.00109,0.00109
20,213.84,0.61711,0.38126,1.81163,1.19783,0,0.65079,0.80464,0.87652,0.76971,0.65079,0.80464,0.87652,0.76962,0.57828,0.16951,1.48215,1.05562,0,0.000595,0.000595,0.000595
